text,aspect,label
"The battery life is great but the screen is expensive.",battery,positive
"The battery life is great but the screen is expensive.",screen,negative
"The camera is excellent but the battery is poor.",camera,positive
"The camera is excellent but the battery is poor.",battery,negative
"The keyboard is good.",keyboard,positive
"The price is expensive.",price,negative
"The design is average.",design,neutral
"The performance is fast.",performance,positive
"The battery is not good.",battery,negative
"The screen is not bad.",screen,positive
"The camera could be better.",camera,negative
"The price is high, but the quality makes it worth it.",price,negative
"I expected the keyboard to be great, but it is disappointing.",keyboard,negative
"The design looks premium although the performance is slow.",design,positive
